family_id,name,description,mechanism_id
3004247,antibiotic-resistant GlpT,"Fosfomycin is transported bacterial cells through transporters, one of them being glycerol-3-phosphate, which is encoded by the GlpT gene. Mutations in the GlpT gene can confer resistance to fosfomycin.",1001
3004248,antibiotic-resistant UhpT,UhpT encodes a transporter that can import fosfomycin-type drugs into bacterial cells. Mutations to UhpT confer resistance.,1001
3004250,antibiotic-resistant ptsI phosphotransferase,"PtsI family phosphotransferases are involved in cyclic AMP synthesis, which regulates glpT expression. Mutations in PtsI family genes can negatively affect expression of UhpT, which is needed for fosfomycin import.",1001
3004251,antibiotic-resistant cya adenylate cyclase,"Adenylate cyclases encoded by cya genes, which are involved in the synthesis cyclic AMP which regulates the fosfomycin transporter glpT. Mutations in cya genes can confer resistance to fosfomycin.",1001
3004255,vanJ membrane protein,vanJ and vanJ homologue proteins confer resistance to teicoplanin.,1001
3004256,Bleomycin resistant protein,Bleomycin resistant proteins (BRP) confer resistance to bleomycin and to bleomycin-like molecules.,1004
3004257,cpa acetyltransferase,"Acetyltransferases of the cpa family confer resistance to capreomycin, an aminoglycoside antibiotic.",1004
3004260,Bah amidohydrolase,Bah amidohydrolases are membrane proteins that inactivate bacitracin.,1004
3004261,viomycin phosphotransferase,Viomycin family of phosphotransferases confer resistance to viomycin antibiotics.,1004
3004262,daptomycin resistant liaF,Bleomycin resistant proteins (BRP) confer resistance to bleomycin and to bleomycin-like molecules.,1004
3004263,daptomycin resistant liaR,Mutations to the liaR response regulator that confer resistance to daptomycin.,1001;10000
3004264,daptomycin resistant liaS,Mutations in the liaS histidine kinase that confer daptomycin resistance.,1001;10000
3004265,lysocin resistant menA,Mutations to demA confer lycosin resistance.,1001
3004269,pmr phosphoethanolamine transferase,"This family of phosphoethanolamine transferase catalyze the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine to lipid A, which impedes the binding of colistin to the cell membrane.",1001
3004270,antibiotic resistant fabI,"fabI is a enoyl-acyl carrier reductase used in lipid metabolism and fatty acid biosynthesis. The bacterial biocide Triclosan blocks the final reduction step in fatty acid elongation, inhibiting biosynthesis. Point mutations in fabI can confer resistance to Triclosan and Isoniazid.",1001
3004271,16S rRNA methyltransferase (G1405),"Methyltransferases that methylate the G1405 position of 16S rRNA, which is part of an aminoglycoside binding site.",1001
3004272,16S rRNA methyltransferase (A1408),"Methyltransferases that methylate the A1408 position of 16S rRNA, which is part of an aminoglycoside binding site.",1001
3004273,Llm 23S ribosomal RNA methyltransferase,"A family of lincosamide resistant 23S rRNA methyltransferases. The only member of the family discovered so far was isolated from Paenibacillus sp. LC231, a strain found in Lechuguilla Cave, NM, USA.",1001
3004276,ANT(2''),A category of aminoglycoside O-nucleotidyltransferase enzymes with modification regiospecificity based at the 2''-hydroxyl group of the respective antibiotic. These enzymes inactivate aminoglycoside antibiotics by transfer of an AMP group from an ATP substrate to the 2''-hydroxyl group of the compound.,1004
3004278,Outer Membrane Porin (Opr) ,"The Opr family consists of porins in Pseudomonas species, and other Gram-negative bacteria, that exhibit a variety of substrate selectivities.",3000244;3003764
3004279,Sugar Porin (SP),Members of the Sugar Porin family tend to facilitate the transport of maltodextrins and other sugars across the outer membrane of Gram-negative bacteria. These porins form a homotrimeric structure.,3000244
3004280,MipA-interacting Protein,"The MltA-interacting Protein (MipA) family consists mainly of homologs to MipA and OmpV proteins. Proteins of this family, are predicted to form a beta-barrel.",3000244
3004281,General Bacterial Porin with reduced permeability to beta-lactams,"These are GBPs that are associated with decreased susceptibility to beta-lactams either through mutations in the porin protein, absence of the porin protein, or expression of the porin protein.",3000244;3003764
3004282,General Bacterial Porin with reduced permeability to peptide antibiotics,"These are GBPs that are associated with decreased susceptibility to peptide antibiotics either through mutations in the porin protein, absence of the porin protein, or expression of the porin protein.",3000244
3004283,CarO porin,The imipenum resistance-associated CarO porin family is composed of the CarO porin originally identified in Acinetobacter baumannii. The loss of these porins is associated with imipenem and meropenem multi-drug resistance. The channels formed by CarO porins show slight cation selectivity.,3000244
3004285,tunicamycin resistance protein,A grouping of tunicamycin resistance proteins that are homologous to tmrB found in Bacillus subtilis.,3000244
3004286,phenotypic variant regulator,"Phenotypic variant regulator proteins play a role in controlling the switch between antibiotic-susceptible and antibiotic-resistant forms of bacteria. The characterized member of this family is the PvrR protein in Pseudomonas aeruginosa, which when absent, confers antibiotic resistance.",3003764
3004287,lipid A phosphatase,"The antimicrobial activity of certain antibiotics, such as peptide antibiotics, is proposed to be initiated through binding to the lipid A moiety of lipopolysaccharides. Thus, covalent modification of Gram-negative bacterial lipid A by phosphatases is a mechanism to reduce the susceptibility of the bacteria to antibiotics.",1001
3004288,Subclass B1 Vibrio cholerae varG beta-lactamase,"varG is an Ambler class B metallo-beta-lactamase found on the antibiotic resistance var regulon in Vibrio cholerae, along with an antibiotic efflux pump varABCDEF. These genes are organized as a regulon under the control of VarR transcriptional activator. VarG was shown to have beta-lactamase activity against penicillins, carbapenems and cephalosporins in-vitro.",1001
3004293,BUT beta-lactamase,A class C beta-lactamase family of chromosome-encoded antibiotic resistance genes originally described from Buttiauxella spp.,1004
3004333,triclosan resistant gyrA,"DNA gyrase is responsible for DNA supercoiling and consists of two alpha and two beta subunits. Point mutations in gyrA have been shown to decrease susceptibility to the antibiotic triclosan. Although the mechanism is unclear, it is hypothesized that changes in supercoiling activity of mutant DNA gyrase proteins alters expression of stress response pathways thereby indirectly decreasing triclosan susceptibility. It has been shown that triclosan does not interact directly with gyrA.",1001
3004358,ACI beta-lactamase,A family of class A beta-lactamase enzymes described in the gram-negative cocci Acidaminococcus fermentans.,1004
3004363,lipid A acyltransferase;polymyxin resistance operon,"Lipid A acyltransferase genes confer resistance to certain types of peptide antibiotics such as polymyxins through the aminoacylation of lipopolysaccharide, thereby decreasing the negative charge of the outer membrane surface.",1001
3004443,RSA beta-lactamase,"A family of class A beta-lactamase enzymes, RSA beta-lactamases show carbapenemase and cephalosporinase activity.",1004
3004449,TRU beta-lactamase,A class C beta-lactamase endogenous to Aeromonas enteropelogenes (tructi).,1004
3004465,intrinsic colistin resistant phosphoethanolamine transferase,"Chromosomally-encoded phosphoethanolamine (PEtN) transferases shown to confer resistance to polymyxin antibiotics, including colistin.",1001
3004471,msr-type ABC-F protein,msr-type ABC-F subfamily ribosomal protection proteins expression in Staphylococci species and confer resistance to erythromycin and streptogramin B antibiotics through antibiotic target protection mechanisms.,1003
3004472,lsa-type ABC-F protein,"A subgroup of the ABC-F protein subfamily of ATP-binding cassette proteins. lsa-type ABC-F proteins confer resistance to streptogramin, lincosamide and pleuromutilin antibiotics through antibiotic target protection of the ribosome.",1003
3004449,TRU beta-lactamase,A class C beta-lactamase endogenous to Aeromonas enteropelogenes (tructi).,1004
3004545,ADC beta-lactamase with carbapenemase activity,"ADC beta-lactamase enzymes with demonstrable carbapenemase activity, an exception amongst these enzymes.",1004
3004558,CAM beta-lactamase,CAM (Central Alberta Metallo) beta-lactamases are class B metallo-beta-lactamases and carbapenemases found to confer resistance to broad spectrum antibiotics in Pseudomonas aeruginosa.,1004
3004560,murG transferase,murG acetylglucosaminyltransferase enzymes inhibited by vancomycin. Mutations in murG confer resistance to vancomycin through antibiotic target alteration.,1001
3004570,PNGM beta-lactamase,"PNGM is a family of metallo-beta-lactamases first identified from a deep-sea sediment metagenome and shown to reduce antibiotic susceptibility by hydrolysis of penicillins, carbapenems and extended- and broad-spectrum cephalosporins.",1004
3004722,pyrazinamide resistant rpsA,"The 30S ribosomal protein S1 of Mycobacterium tuberculosis is required for mRNA translation initiation, playing a particular role in trans-translation. Mutations to rpsA prevent pyrazinoic acid, the active form of pyrazinamide catalyzed by pncA, from targeting RpsA to inhibit translation.",1001
3004725,vancomycin-resistant beta prime subunit of RNA polymerase (rpoC),"Point mutations in rpoC, an RNA polymerase subunit, which confer resistance to vancomycin.",1001
3004741,AST Beta-lactamase,A family of beta-lactamase known for their broad spectrum resistance profile.,1004
3004746,BAT Beta-lactamase,BAT is a class D beta-lactamase.,1004
3004748,BCL Beta-lactamase,BCL beta-lactamase is a class A beta-lactamase.,1004
3004750,BES Beta-lactamase,BES beta-lactamase is a class A beta-lactamase family.,1004
3004752,BIC Beta-lactamase,BIC is a class A beta-lactamase conferring resistance to carbapenem.,1004
3004756,BKC Beta-lactamase,BKC beta-lactamase is a class A beta-lactamase.,1004
3004758,BPU Beta-lactamase,BPU is a class D beta lactamase gene family.,1004
3004760,BRO Beta-lactamase,BRO is a class A beta-lactamase that is found in M.catarrhalis.,1004
3004763,CBP beta-lactamase,CBP is a class A beta-lactamase family found in C. botulinum.,1004
3004765,CGA beta-lactamase,CGA is a class A beta-lactamase family that is found in Chryseobacterium gleum.,1004
3004765,CIA beta-lactamase,CIA is a class A beta-lactamase gene family found in Chryseobacterium indologenes.,1004
3004772,CKO beta-lactamase,CKO is a class A beta-lactamase gene family found in Citrobacter koseri.,1004
3004774,CME beta-lactamase,CME is a class A beta-lactamase gene family belonging to Chryseobacterium meningosepticum.,1004
3004776,CMH beta-lactamase,CMH is a class C beta-lactamase gene family belonging to Enterobacter cloacae.,1004
3004779,DES beta-lactamase,DES is a class A beta-lactamase gene family found in Desulfovibrio desulfuricans.,1004
3004781,ERP beta-lactamase,ERP is a class A beta-lactamase gene family found in Erwinia persicina.,1004
3004783,FAR beta-lactamase,FAR is a class A extended spectrum beta-lactamase gene family found in Nocardia farcinica.,1004
3004787,FONA beta-lactamase,FONA is a Class A beta-lactamase gene family found in Serratia fonticola.,1004
3004794,FPH beta-lactamase,FPH is a carbapenem-hydrolyzing class A beta-lactamase found in Francisella philomiragia.,1004
3004796,FRI beta-lactamase,FRI is a carbapenem-hydrolyzing Class A beta-lactamase from Enterobacter cloacae.,1004
3004800,FTU beta-lactamase,FTU is a class A beta-lactamase gene family found in Francisella tularensis.,1004
3004824,LAP beta-lactamase,LAP is a Ambler Class A beta-lactamase gene family that confers resistance to beta-lactams.,1004
3004855,SCO beta-lactamase,"SCOs are Class A beta-lactamases that confer resistance to a narrow range of penams, with some minor activity on cephalosporins and carbapenems.",1004
3004875,inhA with mutations with conferring resistance to ethionamide,Genes with mutations in inhA which confer resistance to ethionamide class antibiotics.,1001
3004876,pyrazinamide resistant clpC1,clpC1 is a subunit of the clp protease that is ATP-dependent. It functions to direct the clp protease to specific substrates. In the presence of ATP it hydrolyses proteins and may be involved in the degradation of denatured proteins.,1001
3004880,pyrazinamide resistant gpsI,gpsI codes for polyribonucleotide nucleotidyltransferase which is a protein involved in mRNA degradation. It catalyzes the phosphorolysis of single-stranded polyribonucleotides in the 3'- to 5'-direction.,1001
3004882,pyrazinamide resistant mas,Mas is a multifunctional mycocerosic acid synthase membrane-associated mas. It catalyzes the elongation of N-fatty acyl-CoA with methylamalonyl-CoA as the elongating agent to form mycocerosyl fatty acids present in mycobacterium.,1001
3004887,antibiotic resistant fabG,Mutations that occur in the fabg1 gene resulting in the inability for the antibiotic to inhibit mycolic acid biosynthesis.,1001
3004888,ethionamide resistant fabG1,"fabG1 is involved in the fatty acid synthesis pathway, acting in the first reduction step for mycolic acid. It is associated with ethionamide resistance.",1001
3004890,ethionamide resistant mshC,Mutations that occur in mshC which is involved in the third step of mycothiol biosynthesis. It catalyzes the ATP-dependent condensation of GlcN-Ins and L-cysteine to form L-Cys-GlcN-Ins. The gene exhibits resistance to ethionamide.,1001
3004892,ethionamide resistant nudC,nudC is a NADH pyrophosphatase that is involved in nicotinate and nicotinamide metabolism. Mutations that occur on the nudC gene resulting in the inability for ethionamide to function.,1001
3004894,Isoniazid resistant ahpC,An alkyl hydroperoxide reductase that catalyzes the reduction of organic hydrogen peroxide to water and organic alcohols. Plays a role in protecting oxidative stress.,1001
3004895,isoniazid resistant fabG1,"FabG1 is involved in the fatty acid synthesis pathway, acting in the first reduction step for mycolic acid. It is associated with isoniazid resistance.",1001
3004897,isoniazid resistant furA,"Transcriptional regulator furA, represses the transcription of the catalase-peroxidase gene katG and its own transcription by binding to the promoter region.",1001
3004899,isoniazid resistant inbR,inbR is part of the transcriptional factor family TetR. It acts as a repressor to regulate efflux pumps involved in antibiotic resistance.,1001
3004901,isoniazid resistant mshA,mshA is a glycosyltransferase and is involved in the first step of mycothiol biosynthesis. This is a step that is required for growth in mycobacterium tuberculosis. Resistance has been shown in the gene to isoniazid.,1001
3004904,isoniazid resistant mshC,Mutations that occur on the mshC gene resulting in the inability for isoniazid to function. It catalyzes the ATP-dependent condensation of GlcN-Ins and L-cysteine to form L-Cys-GlcN-Ins.,1001
3004906,isoniazid resistant mymA,mymA is an operon that begins at Rv3083 and ends at Rv3089 and is required for maintaining the appropriate mycolic acid composition and permeability of the envelope on its exposure to acidic pH. It has shown to be resistant to isoniazid.,1001
3004908,isoniazid resistant mmaA3,Methoxy mycolic acid synthase 3 is involved in the modification of mycolic acids. It represents a major part of the mycobacterial cell wall complex.,1001
3004910,isoniazid resistant nat,Arylamine N-acetyltransferase catalyzes the transfer of the acetyl group from acetyl coenzyme A to the free amino group of arylamines and hydrazines. Reports have shown that overexpression of this enzyme may be responsible for increased resistance to isoniazid.,1001
3004911,isoniazid resistant nudC,nudC is a NADH pyrophosphatase that is involved in nicotinate and nicotinamide metabolism. Mutations that occur on the nudC gene resulting in the inability for isoniazid to function.,1001
3004913,isoniazid resistant sigI,A sigma factor that acts as an initiation factor that promotes attachment of the RNA polymerase to specific initiation sites and then is released. Transcriptional analyses indicate that katG is also regulated by the sigma factor sigl and indicate resistance to isoniaizd.,1001
3004917,fluoroquinolone resistant eccB5,Mutations in the eccB5 gene contributing to antibiotic resistance to fluoroquinolone.,1001
3004920,fluoroquinolone resistant eccC5,Mutations in the eccC5 gene contributing to antibiotic resistance to fluoroquinolone.,1001
3004936,23s rRNA with mutation conferring resistance to aminoglycoside antibiotics,Point mutations in the 23S rRNA of bacteria can confer resistance to aminoglycosides.,1001
3004939,cycloserine resistant ddlA,"ddlA catalyzes the ATP-driven ligation of two D-alanine molecules to form the D-alanyl-D-alanine dipeptide, key in forming the cell wall. Cycloserine has a similar structure to d-alanine and inhibits the growth of the cell wall.",1001
3004943,cycloserine resistant ald,ald plays a role in cell wall synthesis as L-alanine is an important constituent of the peptidoglycan layer. Resistance due to mutations in ald can cause cycloserine to not function.,1001
3004946,cycloserine resistant alr,Provides the D-alanine required for cell wall biosynthesis. Transforms L-alanine to D-alanine. Can confer resistance to cycloserine.,1001
3004949,ethambutol resistant ubiA,DDPR synthase involved in arabinogalactan synthesis. Mutations can confer resistance to ethambutol.,1001
3004954,Ethionamide resistant Rv0565c,Mycobacterial monoxygenase has been shown to confer resistance to ethionamide in recent literature.,1001
3004959,rifamycin resistant ponA1,Mutations in the ponA1 gene that can contribute to or confer resistance to rifamycin-class antibiotics.,1001
3004962,kanamycin resistant eis,Involved in acetylation and intracellular survival. Associated with the cell surface and secretion proteins.,1001
3004965,streptomycin resistant whib7,A protein involved in transcriptional mechanisms. Mutations in the gene can cause resistance to streptomycin.,1001
3004966,Kanamycin resistant whib7,whib7 is a protein involved in transcriptional mechanisms. Mutations in the gene can cause resistance to kanamycin.,1001
3004970,streptomycin resistant Rv1258c,An efflux pump in mycobacterium that contributes to intrinsic antibiotic resistance. The pump uses the electrochemical gradient as a source of energy.,1001
3004980,pyrazinamide resistant Rv0191,A probable conserved integral membrane protein that acts as an active efflux pump. Overexpression causes pyrazinamide resistance.,1001
3004983,pyrazinamide resistant Rv1667,A probable transport protein thought to be involved in the active transport of macrolide across the membrane in mycobacterium.,1001
3004986,pyrazinamide resistant Rv2731,A conserved alanine and arginine-rich protein with an unknown function. The protein has shown to contribute to or confer resistance to pyrazinamide.,1001
3004992,pyrazinamide resistant Rv3169,A conserved protein with an unknown function determined through proteomics study. May contribute or confer resistance to pyrazinamide resistance.,1001
3004995,rifampicin resistant rpoC,rpoC catalyzes the transcription of DNA into RNA and mutations confer resistance to rifampicin.,1001
3004998,rifampicin resistant rpoA,rpoA catalyzes the transcription of DNA into RNA and mutations confer resistance to rifampicin.,1001
3005000,Zoliflodacin resistant gyrB,Point mutations in DNA gyrase subunit B (gyrB) of Neisseria gonorrhoeae can result in resistance to Zoliflodacin.,1001
3005001,50S rRNA with mutation conferring resistance to macrolide antibiotics,Nucleotide point mutations in the 50S rRNA subunit (not in the 23s rRNA range) may confer resistance to macrolide antibiotics.,1001
3005002,antibiotic resistant polyketide synthase genes,Genes ppsA-E constitute an operon encoding enzymes involved in the biosynthesis of phthiocerol dimycocerosate and other lipids in Mycobacterium tuberculosis. Mutations within this region can result in resistance to pyrazinamide.,1001
3005011,IDC beta-lactamase,IDC beta-lactamases are class C beta-lactamases inc. cephalosporinases and carbapenemases.,1004
3005014,VMB beta-lactamase,"Vibro metallo-B-lactamase, also known as VMB is a carbapenemase beta-lactamase gene family.",1004
3005017,LMB beta-lactamase,LMB is an AMR Gene family belonging to subclass B3 metallo-beta-lactamases.,1004
3005034,YRC beta-lactamase,YRC is a ambler class C beta-lactamase from Yersinia ruckeri. It confers resistance penams and cephalosporins,1004
3005050,Intrinsic peptide antibiotic resistant Lps,LpsB is involved in lipopolysaccharide synthesis. It provides intrinsic resistance to colistin and other peptide antibiotics such as polymyxins.,3000244
3005082,Ribosomal protein mutation conferring resistance to pleuromutilin antibiotics,Ribosomal protein mutations that interfere with the rRNA conformation at the active site thus conferring antibiotic resistance.,1001
3005086,Target protecting FusB-type protein conferring resistance to Fusidic acid,Fusidic acid resistance determinants through the mediation of target protection. These protein drive the dissociation of EF-G from the ribosome thus counteracting the action of Fusidic acid.,1003
3005095,GPC beta-lactamase,GPC is a class A beta-lactamase family. It is found initially in Pseudomonas aeruginosa. It confers resistance to B-lactams.,1004
3005101,prothionamide resistant katG,"Mutations associated with katG conferring resistance to prothionamide, an analogue of isoniazid. Like isoniazid, prothionamide targets lnhA.",1001
3005103,isoniazid resistant ethA,Mutations in ethA conferring resistance to isoniazid.,1001
3005104,prothionamide resistant ethA,"Mutations in ethA conferring resistance to prothionamide, an analogue of isoniazid.",1001
3005107,prothionamide resistant mshA,"Mutations in mshA conferring resistance to prothionamide, an analogue of isoniazid.",1001
3005110,blaS,A class A beta-lactamase in Mycolicibacterium smegmatis.,1004
3005149,PAC beta-lactamase,PAC beta-lactamase is an inhibitior-resistant cephalosporin-hydrolyzing class C beta-lactamase.,1004
3005205,perchlozone resistant ethA,"Genetic variants of ethA from Mycobacterium spp. including tuberculosis, which confer resistance to the antibiotic perchlozone.",1001
3005347,trimethoprim resistant dihydrofolate reductase dfr,DfrA37 is a dihydrofolate reductase that confers resistant to Trimethoprim.,1002
3005387,AAK beta-lactamase,AAK beta-lactamases are a group of class A beta-lactamases found in Klebsiella pneumoniae.,1004
3005388,AFM beta-lactamase,AFM beta-lactamases are class B1 beta-lactamases found in proteobacteria like Pseudomonas aeruginosa.,1004
3005389,ALG11 beta-lactamase,ALG11 beta-lactamases are class B3 beta-lactamases.,1004
3005391,ALI beta-lactamase,ALI beta-lactamases are class B1 beta-lactamases found in species of the Aliivibrio genus,1004
3005392,ANA beta-lactamase,ANA beta-lactamases are class B1 beta-lactamases found in Anaeromyxobacter.,1004
3005393,AXC beta-lactamase,AXC beta-lactamases are class A beta-lactamase found in the Anaeromyxobacter genus.,1004
3005394,BSU beta-lactamase,BSU beta-lactamases are class D beta-lactamases found in Bacillus inaquosorum.,1004
3005395,CAR beta-lactamase,CAR beta-lactamases are class B3 beta-lactamases found in Pectobacterium atrosepticum.,1004
3005396,CDD beta-lactamase,CDD beta-lactamases are class D beta-lactamases found in Clostridioides difficile.,1004
3005397,CSA beta-lactamase,CMA beta-lactamases are class C beta-lactamases found in Cronobacter malonaticus.,1004
3005398,CRD3 beta-lactamase,CRD3 beta-lactamases are class B3 beta-lactamases.,1004
3005399,CRH beta-lactamase,CRH beta-lactamases are class A beta-lactamases found in Chromobacterium haemolyticum.,1004
3005400,CRP beta-lactamase,CRP beta-lactamases are class A beta-lactamase found in Chromobacterium piscinae.,1004
3005401,CSA beta-lactamase,CSA beta-lactamases are class C beta-lactamases found in Cronobacter sakazakii.,1004
3005403,CVI beta-lactamase,CVI beta-lactamases are a class B2 beta-lactamase found in Chromobacterium violaceum.,1004
3005404,DHT2 beta-lactamase,DHT2 beta-lactamases are class B3 beta-lactamases.,1004
3005405,EAM beta-lactamase,EAM beta-lactamase are class B3 beta-lactamases found in Qipengyuania aquimaris.,1004
3005406,EC beta-lactamase,EC beta-lactamases are class C beta-lactamases found in Escherichia coli.,1004
3005407,ECM beta-lactamase,ECM beta-lactamases are class B3 beta-lactamases found in Qipengyuania citrea.,1004
